id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,PC54,PC55,PC56,PC57,PC58,PC59,PC60,PC61,PC62,PC63,PC64,PC65,PC66,PC67,PC68,PC69,PC70,PC71,PC72,PC73,PC74,PC75,PC76,PC77,PC78,PC79,group
con10,-4.947578665,-0.779895421,-0.106820781,0.114964802,0.889336708,-1.840750079,0.481832489,-1.782381681,-0.340481495,-1.19978571,0.276749296,-1.636189902,-0.448787274,-0.386627031,-0.490612146,2.341296904,0.809685544,-0.208222356,1.182581039,0.746076626,0.718622756,1.167058356,0.478755421,-2.011539951,-0.505997662,-0.090541932,-0.916665713,0.588046138,0.404812074,0.147519673,-0.166583299,0.562804354,-0.745096937,1.039079786,-0.44475148,-0.189897845,1.084884334,-0.880509541,-0.094032967,-0.637628977,0.199573803,0.598267188,0.046216794,-0.883675822,-0.84940859,-0.203892515,-0.346678908,0.160550358,0.22158331,0.283368598,-0.146926455,-1.023599335,0.024260257,-0.364319979,-0.546275969,-0.086717993,0.144273985,0.076911737,0.018801806,-0.319331137,0.062440877,-0.199604272,-0.026351563,0.08355661,0.052331697,-0.224514229,0.211381274,-0.059725803,-0.250669063,0.075787152,-0.139643965,0.006138858,0.015440387,0.001754851,-0.096291216,-0.063309034,0.066101122,-0.000752842,0.047178344,con
con11,-7.569728405,-0.330346809,-0.924257502,-0.024965356,1.789997257,1.194032388,1.251040662,2.100667248,-2.49213772,-2.207619338,-0.793771026,0.263265456,-0.114629891,2.829714307,0.358698642,0.807985002,1.680321453,-2.449320989,1.210694221,0.880169702,-1.238060818,0.016720422,-1.069626423,1.931750626,0.752207896,0.365600382,0.886125339,-1.425492849,-0.101419465,-0.333925584,-0.816959731,-0.492200297,0.740704768,-0.274535522,-0.932909983,-0.128317245,0.494316965,0.2264628,0.048729669,-0.357849802,0.998027132,0.313732049,0.010680803,-0.586990979,0.163221392,-0.387219287,0.976814173,0.476743305,0.106936109,0.128240766,0.025500898,0.112818287,0.066724174,0.07255264,0.450901783,-0.374905745,0.324595437,-0.264784055,-0.10219364,-0.665681973,0.135114345,0.131709086,-0.197656161,0.053636056,-0.165215027,-0.013483256,-0.109053809,-0.021485678,-0.170307519,-0.0064144,-0.07880927,0.003910711,-0.044237438,-0.062649115,-0.060115462,0.044428005,-0.026402866,-0.051470941,-0.010893409,con
con12,-2.563490421,0.201461415,0.897757826,-1.465822256,0.091239455,-0.403022281,0.087120008,-0.969931574,-1.048304034,-1.807603716,-1.102262634,0.27742513,0.499897945,0.252587238,-1.914920334,-0.841603036,0.391315267,-0.815199417,-0.853516854,-0.094902844,-0.53075311,0.155778069,0.102479948,-0.723643768,0.240619937,-0.00036251,0.124001014,-0.359280631,1.155422453,0.272483148,-0.784345912,0.583259268,1.327431683,-0.725388303,-0.332417961,-0.75620353,-0.116319492,-0.636500952,-0.872766997,-0.168434291,-0.637819557,-0.425242146,0.898035528,0.122649989,0.45707132,-0.057449086,0.174598445,-0.131342773,-0.938122147,0.175881954,-0.021363995,-0.222489796,-0.03125116,-0.450591571,-0.027093402,-0.472775158,-0.217559014,-0.123667356,0.710513502,0.245165618,-0.301969972,0.254309738,-0.052116989,-0.179798239,0.194345249,-0.017288428,-0.279904446,0.159729368,-0.045379559,0.09585445,-0.018769055,-0.049306716,0.202975432,0.1029277,-0.000852103,0.002303101,7.29E-05,0.035881039,-0.032552793,con
con13,-8.121745968,-1.396945268,-0.580573128,0.976549682,0.264281163,0.545892814,0.041183467,-2.158042158,-0.418601388,-0.531920569,-0.054558181,-0.675337956,-0.192700777,1.271852044,0.44369401,1.880321194,0.205730134,0.315022551,-0.598109399,1.044258438,-1.483209579,0.908004691,0.11530343,0.052677116,-1.801946761,0.344324448,0.458767572,-0.036707049,-0.875698173,0.450605802,-0.253783644,0.232917023,-0.64844175,-0.856814064,0.512043099,0.392969183,-0.843029195,0.307529205,-0.365057824,0.97813671,-1.977277644,-1.259565551,-0.287448555,-0.79104284,0.005473331,-0.21303323,0.552096273,0.028074283,-0.34831644,-0.351479243,0.777138188,0.078217511,0.32894745,-0.322609793,0.085507409,0.362501227,0.1456468,-0.002108626,0.028964157,-0.25141369,-0.187410976,0.125798557,0.204917983,-0.054610366,-0.038184981,-0.010283257,0.181452603,0.226930432,0.029943505,0.074196343,-0.127544058,-0.081144544,0.024779516,-0.067142387,0.079586654,0.038137832,-0.049630006,-0.013949025,0.024339576,con
con14,-1.609586613,1.957634981,2.437660887,-1.642352571,2.045742386,-0.45288996,-1.481320296,-1.306140501,0.976335475,0.726880934,-0.056316608,-0.902202667,-0.369023411,-3.311885093,0.162676002,-0.67472181,-0.07330889,0.199403073,0.797159516,0.473343057,0.074735613,0.471980755,0.674100472,1.350744829,1.358239181,-0.119162236,-0.220973869,0.538141172,0.392904235,1.076531208,-0.149235932,-0.765760357,0.981988665,-0.323608115,-0.16154655,0.402028112,1.17481341,-0.265281547,-0.82777173,0.991332043,0.072841589,0.135051454,0.256989904,-0.211260632,-0.413686025,-0.000211088,0.145320359,-0.201022903,-0.447795349,-0.274601162,0.067831,-0.175286135,0.196744519,0.443206359,-0.591319753,-0.161904677,-0.116275984,0.008151058,0.024066888,-0.105766991,0.233526458,0.169265313,-0.107693221,-0.20900888,0.101011477,-0.184053566,-0.06578409,0.353207909,-0.031681305,0.076406701,-0.151652123,-0.099315205,-0.164871262,-0.065633589,0.006709291,0.068915838,0.065962982,0.005474173,0.021503483,con
con15,-4.746837453,-1.141752739,1.207804314,-3.114751527,2.252743964,-1.833472013,0.875479433,-0.230339459,-0.06121796,2.417011696,0.657490664,-1.17912588,-0.93153242,-2.381269748,2.304945496,1.897526574,-1.254877041,1.070361535,1.821645404,0.08166224,2.07866931,1.165073224,2.750335685,1.335886098,2.148403819,0.928162853,-0.024163161,-0.144696288,0.618753059,0.301169469,1.153866561,-0.521637617,-0.234480751,-0.507997188,-0.901049807,0.036773534,0.19382192,-0.001952168,-0.451604089,-0.951467039,-0.372128742,0.222008135,0.276677431,-0.246209148,0.460554189,0.2086624,-0.402968626,-0.18669338,0.063127693,0.531763932,0.29797907,0.536735976,0.155715787,-0.221816881,0.373404313,0.156406517,-0.144647902,-0.04583856,-0.122016278,-0.268779432,-0.080029038,0.108837477,0.129841543,-0.116478057,0.025071613,0.08350598,-0.043339816,0.04524524,-0.050270345,-0.05116692,0.11861528,0.035950792,0.030370649,0.032275181,0.079546306,0.000868186,-0.072266019,-0.043109907,-0.027319892,con
con16,-7.933997603,-1.831205151,-0.482438939,-0.020143399,-0.617312275,-0.416278957,-0.994720104,1.591109243,1.656012393,2.342987355,0.639099157,0.153130254,-1.04091092,-0.962112928,1.199258707,0.219898914,-0.103838262,1.56236836,0.598739736,-0.658070877,0.253393398,0.349872687,-0.461350042,-1.242053192,-1.417272118,0.216349388,-0.173813855,0.916073702,-0.907136265,-0.463714482,0.35992547,-0.428671542,-0.39721968,-0.861197698,-0.595592304,-1.155390401,0.048802978,0.192802511,0.981895536,0.494494585,-0.431221255,-0.291704087,0.960045641,1.12203145,-0.446291545,-1.050555005,0.729213916,0.532154895,-0.20519859,0.359425588,-0.304670807,0.147759889,-0.21040316,0.033401008,0.107249414,-0.326422274,0.696961926,0.296937743,-0.156707982,-0.384742168,0.064770122,0.017085186,0.036231658,-0.401313229,-0.088935322,0.116944484,-0.081352536,-0.083466744,0.1507039,0.130993091,0.037715388,0.088065091,0.021278648,0.127939575,-0.055261092,0.03388793,0.081106666,0.006742378,-0.005183424,con
con17,-5.86537752,-1.195660602,1.18870944,-2.338681605,3.749146118,-1.374753784,1.433415555,2.784358147,2.275892671,2.986702455,-0.220551484,-1.167402388,-1.053303811,0.391620454,1.500799719,-0.630341735,-0.121239086,1.24774351,-1.384599503,0.061738599,0.381328245,1.803952096,-1.039312221,-0.497393451,0.553145605,0.159636851,0.894341382,0.040511516,0.315144443,-0.556809632,0.521761867,0.054173581,1.036819263,1.584032868,0.901456162,-0.358744117,-0.507396704,0.908494559,1.218052135,0.770370851,0.407376145,0.230364052,0.300563916,-0.553105419,0.355632265,0.39799371,-0.066694119,0.340034051,-0.376250657,-0.615262252,-0.487634996,-0.002070206,-0.293018542,-0.308262684,0.144956652,0.314994694,0.128015029,-0.307295622,0.12920412,0.156055947,0.262635092,-0.169403874,-0.127881052,0.311446858,-0.116815636,-0.283318094,-0.045788707,0.155320403,-0.097009001,-0.182787733,0.005612178,-0.014169699,0.165626927,-0.059896437,-0.011273972,0.037076657,-0.033620852,0.045508742,0.007787712,con
con19,-4.768321796,0.698026691,2.310627745,-3.069700415,1.683136405,-1.030309749,-0.180554194,0.332807496,1.597700791,0.490360887,-0.187307559,0.39828375,0.377927062,0.143707696,0.771010453,-0.041092529,-0.142434028,-0.261020593,-1.746830435,0.071571323,1.033721333,0.594732431,-0.248040037,-0.705075169,-1.189300814,-0.794965044,0.046763999,0.165563036,-1.004583781,0.856740212,-0.96357946,0.454068639,-0.021544458,0.604281934,2.362844021,0.742637647,-0.363541119,-0.748923568,-0.511487314,-0.175482143,-0.014154253,-0.134813407,-0.544621723,0.557053492,-0.530720183,-0.138390856,-0.086445635,-0.067005514,-0.09584498,-0.00019774,0.049592894,0.597703048,0.205113419,0.081349616,0.134301017,-0.335893673,-0.33035349,-0.133287621,-0.392960206,-0.324796698,-0.338322891,0.197142111,-0.160433105,0.121423299,-0.01417867,0.033635968,-0.359819607,0.160781734,-0.060885221,0.012400426,0.102023715,-0.130712717,-0.038866345,0.006503325,-0.119886437,-0.044967608,0.028106012,-0.044500634,0.014582361,con
con2,-4.582673797,-1.818412047,0.543270381,-1.262181913,0.294383152,-2.187187842,1.03341204,0.638687122,0.12482043,-1.006845174,-0.283282544,0.100878987,-0.871886986,0.542653199,-1.17664021,0.681399812,0.002082378,0.838457878,0.062567835,-1.252644327,0.850596015,-0.82591352,-0.12928883,1.135237036,0.146081009,0.749372232,1.101637006,-0.128948464,-0.263301893,-1.371710543,-0.148524645,-0.177680013,-0.426080008,0.582882427,0.78717244,0.101041825,-0.798148974,-0.33600381,-0.445791009,-0.23739493,-0.625536291,0.009061731,-0.409713635,0.44669333,0.551753259,0.30570672,0.05220062,-0.718070277,-0.783632854,0.350085164,0.22693725,-0.239109072,-0.901043253,0.940956812,-0.399483411,-0.197807959,0.512724832,-0.00237156,0.140055911,0.054046411,-0.092535754,0.189628719,-0.294084839,0.050545774,0.628878636,-0.255125342,0.063696195,-0.122054173,-0.064119482,0.108313295,0.08620413,0.117975705,-0.013416528,-0.024554853,0.030322724,-0.007064317,0.004694726,-0.011636042,-0.00816962,con
