id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,group
con10,-2.584749126,0.197795482,0.515885686,0.40300632,0.905770147,-0.562619078,0.809979841,-0.243737984,0.476355763,-1.459351293,0.121156435,0.229476648,0.415064928,0.364881394,-0.177296935,0.324731602,-1.513115685,0.054190565,-0.035086199,0.337935006,-0.099318066,-0.080596726,con
con11,-0.763202002,0.052597595,-1.836241896,-0.267913652,0.050493753,-0.508236512,-1.115611397,0.177756894,-0.09835124,0.446498647,-0.724072324,-0.299890663,-0.155473523,0.225395623,-0.533881758,-0.005556906,0.092692357,0.04786012,0.041472599,0.287987157,-0.30923337,-0.073966363,con
con12,-0.841741951,-0.581603184,-1.368353427,1.417155759,0.217722309,0.872318056,0.808436566,-0.566821879,-0.170346744,-0.216648124,0.159484193,0.814304422,-0.201425435,0.679484343,0.18472727,-0.75121615,0.39771729,-0.007202332,0.450484971,0.078152083,0.018107339,-0.281276273,con
con13,-4.2866903,0.891970199,-0.493664681,1.085837148,-0.336520603,-1.427419037,0.605562173,0.33190995,1.459568046,-0.04451516,-0.16081719,0.420211178,0.61559959,-0.315845527,-0.674089142,0.626670397,-1.085938832,-0.247820055,0.021901571,0.096573453,-0.612645816,-0.03796727,con
con14,-3.381781106,0.646855741,0.041770284,0.836707361,-0.498726529,-1.798762307,1.286250679,-0.362035492,0.640070604,0.130975992,0.856679613,-0.687526613,-0.004160365,-0.455186177,-0.429820486,0.509986218,-1.516173024,0.505450927,0.055002392,0.114252105,-0.221615204,0.145635492,con
con15,-0.269335779,-1.132543911,-1.459853433,1.591904021,-0.08218225,-0.965615719,-0.098986587,-0.301392902,-0.754529456,0.327196604,0.551324927,0.080404201,-0.333568717,-0.524944668,-0.198412033,0.38024441,0.325762349,-0.375244961,0.348296729,0.102396184,0.284861773,0.053652951,con
con16,-3.42876379,1.570087292,1.018759282,0.79411443,0.345484628,-1.934506723,0.501452701,1.683778825,-0.266954902,0.587797361,-0.822186769,-0.141383412,-0.132065995,-0.300019682,0.373668219,-0.035595045,-0.003829923,-0.544327289,0.130606743,0.417893286,0.121868854,-0.165788422,con
con17,-1.384172279,-0.258278711,-0.553110571,-0.172690964,-1.690921104,-0.006312822,1.619832834,-0.184916445,1.531457351,-0.408348687,0.296501315,0.239279538,0.485708899,0.404941168,-0.42782289,0.097180171,0.766969149,-0.582005095,0.294306075,0.313842598,-0.382310675,0.04107878,con
con19,-0.737533033,-0.605335484,-2.022602342,0.64108828,-0.444579846,0.527175208,1.2818843,-0.304227108,-0.490691183,0.931931943,0.393186041,0.228373758,-0.153320855,-0.261293227,-0.042730277,-0.001950684,0.247920898,-0.428051927,-0.602092169,-0.30544976,0.070673853,-0.019183488,con
con2,-0.221692411,-1.113812401,-1.790444727,-0.225403932,-0.52647575,0.55617314,1.079252812,0.58234095,-0.025723149,0.487167868,-0.327236731,0.027787308,0.119789359,0.426103821,0.454273753,-0.0795647,-0.003154401,0.012673171,0.449367954,0.11518043,0.242028041,-0.022439337,con
con20,-3.026153406,2.071357171,1.5283289,-0.235285531,0.968897753,-0.178714117,2.345404823,0.309515524,-1.126348846,0.255884774,0.641334334,-0.373497048,-1.227717028,-1.133680792,-0.465525525,-0.156506157,-0.049767202,0.095958589,-0.141785366,-0.017054543,0.11423878,0.297550965,con
con21,-0.474016226,-0.870760132,-2.136409818,1.526752153,0.038524226,-0.192481975,0.868233169,-0.019894601,-0.089164202,1.210017906,0.121662358,0.4333646,0.055031086,-0.81242147,0.253461988,0.494873092,0.435993581,-0.762961397,0.289526469,-0.327908064,-0.00325154,-0.019714746,con
con22,-1.549274282,-0.268941491,-1.307640612,1.328758855,0.293440809,-0.632903843,-1.221855638,-0.524693196,-0.542841695,1.545012583,0.788515029,0.039933777,-0.287102069,0.292326749,0.181404159,-0.260316907,0.045385243,0.139330419,-0.509659714,-0.281452512,0.137062147,0.05790601,con
con23,-1.76049646,-0.503411178,-1.421864635,0.187880363,-0.533990838,0.431588298,-0.772435474,-0.165413927,-0.145976029,-0.229819889,-0.344244797,-0.141476772,-0.480290956,0.55400662,-0.314325544,-0.505951293,0.107764784,0.354560201,-0.205948602,0.036490944,-0.139350828,-0.011333631,con
con25,-3.751037097,1.646660648,1.509705076,-0.500845231,0.169056283,-1.855618796,0.401813543,0.786382913,-0.438454413,0.445337698,-0.826087117,-0.117343757,-0.232558015,0.522801134,0.774825086,-0.710707964,-0.43862043,0.445489899,-0.292770616,-0.089061052,0.178242593,-0.382545358,con
con26,-1.159742775,-0.460319666,-1.645079451,0.53492793,-0.032948934,0.677390846,0.823691655,-0.106209027,0.107032476,0.148531436,-0.197412228,-0.11367722,-0.242287325,0.899520335,-0.182026564,-0.179790545,0.327648767,0.083079178,0.5663926,-0.219402543,-0.160704828,0.108574997,con
con27,-3.736860088,2.158073113,1.108761369,-0.626124636,0.669955882,-1.202802457,0.39927423,0.660569218,-0.534409056,0.442598446,-1.041760658,-0.57464578,-0.450748941,-0.24845044,0.296113142,-0.027618364,-0.305481919,-0.057906022,-0.68770922,-0.201404743,0.129515857,-0.077869506,con
con28,-2.895048591,0.823986424,1.489570754,-0.945171236,1.289856343,-0.725174089,1.704503737,0.229246463,-0.42556751,-0.824359677,-0.921298147,0.344520938,-0.137771384,-0.276864571,1.090359202,0.666445386,0.012402889,0.460577022,-0.10787848,0.192820756,-0.333465819,0.038853404,con
con29,-0.740008653,-0.699357607,-0.820012128,0.702336197,1.009274383,-0.925479356,-2.069776174,-0.650723317,-0.231357146,0.533560628,-0.042889818,0.897203712,-0.208936964,0.283174342,0.39583382,-0.076322484,-0.007880784,0.042813826,0.38027601,0.096361169,0.247540342,-0.021814214,con
con3,-0.31029812,-0.714835236,-1.068738643,0.854693703,0.464291379,-0.007495967,0.774906397,-0.447557107,-0.030513235,0.074275076,0.409406956,0.017096402,-0.480198253,0.818523862,-0.035019558,0.189371326,0.380093312,0.282266567,0.603190534,-0.193870674,-0.861633334,0.161299562,con
con31,-1.72304702,0.079881955,-0.651322084,-0.571641458,-0.540142692,-0.19098818,-0.200057896,-0.806599026,0.876530662,0.204433078,0.238317137,-0.285484511,0.160138513,-0.83792263,-0.463294052,-0.403936532,0.280711537,-0.439575716,-0.307292488,-0.076916779,0.308343625,0.177428843,con
con33,-1.92904304,0.315123848,-1.606635506,0.770487035,1.636355777,-0.128078637,-3.280506062,-0.296511441,0.367029165,1.101499715,-1.593752498,0.544704251,0.813465326,1.246577926,0.926684827,0.678319827,0.112320004,-0.606820234,-0.237246395,-0.581131273,0.129835519,-0.088464124,con
con34,-0.098355736,-0.803517587,-0.867567578,0.20550354,0.801425723,0.630442116,-0.786605966,-0.64242492,-0.356483285,-0.062118842,-0.22014505,0.252356761,-0.39795089,0.21914385,0.700397469,0.025039548,-0.101878196,0.034561965,-0.156279544,-0.010032961,-0.303006067,-0.12094604,con
con4,-1.281717249,-0.394431331,-1.159416122,0.713814932,0.904506988,0.555256972,-1.677935091,-0.895710765,-0.77036066,0.155093778,-0.415404232,0.151597733,0.129331894,0.365178037,0.372179914,-0.327894846,0.076636867,0.223217513,-0.057042137,-0.037433908,-0.038779522,-0.058672029,con
con6,-1.580226262,0.055048112,0.219007316,-0.505449554,1.747858131,-0.107978267,-1.055593354,-1.880749956,1.16605455,-0.985516823,0.590870316,1.120970137,-0.138452916,-0.532124347,-0.414528504,-0.49068289,0.618358572,0.175878031,0.176631015,0.40807392,-0.305943833,0.1486232,con
con7,-3.655094098,1.03094484,1.38378951,-0.317245802,1.095573869,-0.878376993,0.551657822,0.526088802,-0.613956093,-0.911197254,-1.242846596,0.269715249,-0.347149612,-0.505060221,0.227847976,-0.501250266,-0.01950788,0.03131929,0.023561494,0.43979235,0.018583896,-0.104571243,con
