id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,group
con10,-0.155500124,0.285321397,1.028217763,0.517990897,-0.251760746,-0.437908529,-0.214780876,0.062709595,-0.036308867,con
con11,-1.728300965,0.501021268,-0.338978186,-0.085648484,1.021923369,0.240930575,0.356162705,0.011606393,-0.010156449,con
con12,-0.479358844,2.12296323,-0.155958593,-0.343567025,-0.138241453,-0.202532074,0.254079381,-4.26E-06,0.048429877,con
con13,-3.18877861,0.478033018,-0.423124663,0.200716763,1.914843,0.596258537,-0.268465757,0.061220168,0.123279807,con
con14,0.428462225,1.156987687,1.329537939,0.547009217,-0.056167457,-0.191981945,0.58245283,0.024860355,-0.011830805,con
con15,0.471091612,1.302088282,-0.395673506,1.397295379,-0.09072678,-0.010471443,0.297298398,-0.07498816,0.076849986,con
con16,-2.66513542,-0.809397783,0.128291388,1.86408994,-0.681189494,-0.958330792,0.183207755,0.144687309,0.141755186,con
con17,1.231890091,0.600711878,0.411214798,0.641983409,-0.026814613,-0.088398771,0.233640014,0.039372515,0.004023352,con
con19,1.290559826,1.091379049,1.012311351,0.826759432,-0.609889293,-0.391882813,0.416888012,0.021483538,-0.021780789,con
con2,0.267667397,0.455819455,2.226938524,1.203553704,-0.528009617,0.276249095,-0.145524177,-8.76E-05,0.09391136,con
con20,-1.803372467,-0.45478842,1.791562122,0.027360261,0.705482486,-0.43359149,-0.983564002,0.094338974,-0.107583062,con
con21,1.073450863,0.172180213,0.993841125,0.564605429,0.093056383,0.092258214,0.464766321,0.022917418,-0.000525646,con
con22,-2.160325115,0.188341102,0.134826062,1.005908117,-0.307562978,-0.271661367,0.089769052,0.086163906,0.091780399,con
con23,-6.739292056,0.160057398,0.880315017,0.493560234,-1.2367758,-0.517807667,-0.802031074,0.414287426,0.030865127,con
con25,-2.12220103,1.51741864,-0.855436314,0.018791856,1.6490803,-0.127955055,-0.164049017,-0.078371806,-0.021274142,con
con26,-4.2268263,3.300428373,-0.331773895,-0.675063754,-0.243661986,0.005147318,0.418117045,-0.00512027,-0.070244695,con
con27,-4.939458619,0.226305666,-0.313642315,0.483025364,0.58984702,1.048020888,0.234551969,0.131840743,0.008168336,con
con28,1.159717104,0.589553099,-0.528614006,0.46466534,-0.203740123,0.314151671,-0.112813798,-0.040984566,-0.098979872,con
con29,-1.671386274,0.258575698,-0.072053925,2.028559018,0.646323312,0.485577891,0.175939276,0.102450788,0.105593462,con
con3,1.184551346,0.328411037,1.229626338,1.311060824,0.124862371,0.337339669,0.57298293,0.050093631,-0.106979241,con
con31,-4.600459693,1.281670724,0.126027973,0.42251606,-1.061796661,-0.465763396,0.50418966,0.132371905,0.080545894,con
con33,-3.901884987,1.016434871,-0.116510598,2.711512036,-0.092486378,0.74307706,0.186268167,0.245743219,-0.230470158,con
con34,-4.642558234,1.054387721,-1.664333233,0.11798964,0.187800373,0.239926789,0.011926048,-0.357550868,-0.076620858,con
