id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43,PC44,PC45,PC46,PC47,PC48,PC49,PC50,PC51,PC52,PC53,group
con10,4.027630833,0.401169942,0.416784058,0.104697035,1.389020552,1.310690915,0.734530531,1.551317249,0.601934549,-0.418194705,-1.887381325,0.919251769,-0.303213572,-1.106115294,-0.043559855,1.531218491,0.329491248,2.15393113,0.524670382,0.103893908,-0.580874448,-0.186208811,0.845578665,-0.225114859,0.26975675,-0.185532178,1.186295055,-0.401697977,-0.710082767,-0.254349941,-0.170102313,0.537252989,-0.62948784,-0.666612318,-0.378763962,-0.320509056,-0.512672355,-0.44724031,-0.871246454,0.174425098,-0.182629741,-0.210738724,-0.185757331,0.536540748,-0.297216027,0.368152646,0.100237436,0.155414482,0.045731064,-0.095600371,0.115331314,0.092437228,0.057610406,con
con11,7.20545607,0.667909361,0.955830721,1.689998472,-3.246059461,3.100725595,2.069563367,-0.859992269,-0.213790829,-0.385164867,0.124296911,-1.645291719,-1.654548087,-0.856047507,-2.086175345,-1.771350022,-0.764646532,-0.853844923,0.858400308,-0.857631279,1.297169985,-0.638318745,1.123712317,-1.034302266,-0.078192535,-0.271569122,-0.689915565,-0.044098289,0.827089675,-0.17383567,0.307511512,0.318879888,-0.459681158,0.117446721,0.510889544,-0.533933748,-1.256472618,0.76236355,-0.49368839,-0.320244969,0.351430048,0.094516476,-0.33426502,-0.144025863,0.012357949,-0.016089059,-0.018723687,0.002831776,0.263662539,0.028553232,0.103076484,-0.042187201,0.066572996,con
con12,2.847734224,-0.596893498,0.177038596,-0.030150486,0.189288848,1.611041656,1.458523698,-0.8667456,0.226943638,1.367066809,0.436924228,0.76378936,-1.094217673,0.30069402,0.884444699,0.041119208,-0.117972731,0.459346139,0.029520848,0.40230553,0.713464845,-0.010076927,0.15359073,-1.05251243,-0.823674743,0.098677037,0.570901816,-1.04233195,0.196280208,-0.826878744,-0.05612007,0.247272275,-0.400791369,0.391660322,0.47646467,-0.504018976,1.033220165,-0.462981279,0.010046619,-0.548886549,0.359114781,-0.09332955,0.218322057,0.197158812,0.073916094,-0.092179073,-0.262768963,-0.112295284,-0.302210695,0.041084221,-0.090862536,-0.094882673,-0.078698788,con
con13,6.348097387,-0.105255521,-0.696365547,1.089785618,1.140094955,0.680042432,1.047441031,-0.051900262,1.208586076,-1.406997516,-0.582245751,-0.274501049,0.469556569,0.546748687,-0.074703506,-0.671580472,0.574360638,-0.084200931,2.111565932,-0.151747475,-0.983311054,-0.698482306,-1.625454364,0.067924271,-0.65915341,0.399915991,-0.433461253,0.490785067,-1.254140175,-0.071093375,0.185680106,0.693725873,0.172563807,0.507248782,0.543146188,-0.339220071,0.853071416,-0.427287128,-0.04836175,-0.364603971,0.584030676,-0.225837667,-0.339096823,0.10249939,0.250411661,-0.163347505,0.175770751,-0.076334715,0.272077105,0.015535496,0.000742352,-0.130427715,-0.019676028,con
con14,1.731020651,0.263317453,-0.377139658,1.284286615,2.610061327,-2.265775872,-0.784529939,2.139370949,-1.273606078,0.76558458,-0.274051196,0.374427304,-0.431600577,-0.082323456,-0.010550175,1.519877479,-1.683671568,-0.006844306,-0.391944882,-0.331877639,0.574614187,-0.652647348,0.277786777,-1.923404123,0.758351013,-0.667782999,-0.731316718,-0.102606767,-0.435997827,0.008517941,-0.003866022,-0.144502135,-0.727067885,0.143792567,-0.108913635,0.199197856,0.606266285,0.188360088,0.42166172,-0.461392793,-0.180111565,-0.024355967,-0.302861927,0.104977785,-0.023953877,0.35002425,0.221539402,-0.16679184,0.197333632,-0.088066224,0.083726184,0.071634186,-0.026387099,con
con15,5.004571228,-0.078087774,2.314652089,0.974420908,1.261460444,-2.750971165,-1.202846628,2.959324774,-1.214077995,-1.630021106,-2.004610482,-0.375729247,1.62925395,-1.359476593,-0.520258719,3.196211134,-3.117577919,-0.537689838,-0.255146912,0.025391276,1.751585572,-0.699517026,0.305934081,0.614066109,0.163556419,-0.502094786,0.01007694,0.281067612,0.211986678,-0.214400762,-0.732337965,0.121966271,0.05597664,-0.148227234,0.206122914,-0.627011905,0.101537699,-0.35473359,0.084854973,0.242664518,0.146056292,0.230285681,0.379181816,-0.061024131,0.307295551,0.022985665,0.147970109,-0.026190636,0.05249097,0.159812312,-0.106386992,-0.084194849,0.056046953,con
con16,6.503303157,-0.612934093,0.891221359,-1.041359748,-0.124276971,-2.355834359,-1.690828238,0.448480558,-1.091764117,-0.519467901,0.288415969,0.217314691,1.020744707,0.177069517,0.249966493,0.493148814,1.255897794,-0.883114828,0.445034254,0.307275571,-0.758319833,0.582180085,-0.303806954,0.397061263,-1.896574361,-0.468985368,-0.486502146,-1.046394316,-1.098466692,-0.202012782,0.600586687,-1.008303014,0.721555736,-0.315383786,0.204875286,-1.050579203,-0.642759655,0.370503123,0.167693858,0.094461773,0.325092782,-0.293184331,-0.258517479,-0.41853413,-0.059971485,0.11504092,-0.097388676,-0.154248407,0.060729012,0.030244135,0.035496718,0.063415803,0.03491515,con
con17,6.333847401,-0.300258338,2.757500597,1.904776619,-1.3275994,-3.69655459,-2.221542215,0.807153824,-0.411471818,-1.07228929,2.803082764,-0.539799755,1.026645624,0.525934599,-0.219166994,0.72025287,1.359379431,0.470994398,-1.021560323,0.304625544,0.711551616,0.431499883,-0.139832036,0.786226729,1.828276459,-0.25321179,0.294936358,-0.746972471,0.7135207,-0.724492787,0.477038617,-0.118624307,0.551736777,-0.184736811,0.332664604,0.682396154,-0.415457561,-0.058326031,-0.570907401,-0.377103508,-0.008630928,0.32544692,-0.072410762,-0.460814761,-0.390638579,-0.355049465,0.272621583,-0.230172285,-0.055977853,-0.038316749,-0.012446167,-0.023845467,-0.064180178,con
con19,5.708650183,-0.26715634,1.596516933,0.573537255,1.147068389,-1.691387925,-0.078331461,-0.783050162,0.141409443,-0.596107549,-0.256703718,-0.247718823,0.181947638,1.569518403,0.078975966,0.385190522,1.268740935,0.527238475,-0.147876579,-0.576070601,-1.897445603,0.220633234,-1.588856826,-0.187956469,-0.203409125,0.140760771,0.200579672,0.748416941,-0.097503332,0.425618746,0.231766071,0.465979063,-0.787073774,0.039406939,-0.042707262,-0.104248889,0.384613071,0.112062291,0.021484673,0.185821816,-0.328709457,0.303504114,-0.225501628,-0.556454735,0.195221643,0.080715977,0.065640205,-0.410200217,0.117506738,-0.044223454,0.037589025,0.006054412,0.040250785,con
con2,4.514567444,-0.519884701,1.702042088,0.016534229,0.34912986,0.754105263,0.172912268,-0.080457219,0.038155918,0.511117368,-0.170157616,0.558931879,0.318376992,0.086500653,-0.803220221,-0.873998232,0.2818561,-0.616344201,0.130494644,0.675117808,1.211762737,0.149784908,-0.346568263,1.193380476,0.129905563,-0.217043675,-0.311847259,0.776621488,-0.484277238,-0.124516604,-0.781843085,0.101173948,0.117213138,0.080312693,0.837117436,1.241426103,-0.163440995,-0.317156612,0.121857591,-0.157599819,-0.259978356,-0.313779625,-0.258208614,0.176231411,0.14317392,-0.348321611,0.039735412,-0.111050724,-0.178794463,-0.105961947,-0.145267463,-0.050011374,0.080473276,con
