id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,group
con10,2.456888164,2.669703074,1.301103086,-0.714868529,0.27393488,0.760713696,-1.199621036,-0.174960198,-0.062219499,0.273797887,0.103844373,-0.051422599,-0.216617337,-0.017166053,-0.006874694,con
con11,1.495070058,2.891272136,0.045261925,-0.985383949,-0.06126119,-0.496063655,-0.212006995,-0.070891044,0.024180733,0.256104466,-0.228117482,-0.355679919,0.070619847,0.070909673,0.111142636,con
con12,-0.525304528,0.859761642,0.080942965,0.505170175,0.418074463,0.249535444,0.118073805,-0.619089417,0.020916729,-0.772881089,0.027511955,0.721747555,0.332778044,1.063922789,-0.096585967,con
con13,2.863163435,3.476717921,0.638177962,-1.533421502,0.178490795,0.678706624,-0.522306763,-0.863326469,-0.822681672,0.589261614,-0.341676552,0.306552863,-0.471000164,-0.013261373,0.222581181,con
con14,-2.595599,1.057380516,-0.626571813,-0.260377975,0.323641048,0.494468812,0.367458131,-0.053663628,-0.053418064,0.239370355,0.055818911,-0.203213231,-0.203463813,0.473474508,0.258605072,con
con15,0.967658587,0.920869299,0.873289371,-0.083329934,-0.350974663,-0.315972084,0.801822781,-0.073076993,-1.597405083,0.289713322,-0.271357998,-0.030934533,0.308798457,-0.344552489,-0.006582297,con
con16,3.262130283,3.072099232,-0.257857003,-1.458614551,-0.207045566,0.143422368,0.374913109,0.023393073,-0.300398606,0.347909605,0.436096296,-0.284205834,-0.792026459,-0.317930628,-0.038481643,con
con17,0.94511095,2.110253544,0.139813072,-0.849703644,0.838132496,0.605040543,-0.519492125,0.379000964,-0.062387482,0.987298726,-0.394940808,0.148778118,0.136599595,-0.073660302,0.371364952,con
con19,-1.581091761,1.786678049,0.215355687,-0.110774487,0.74249353,-1.108353843,0.436654466,0.261915439,-0.23838014,-0.304620024,-0.268680451,0.083525508,-0.523451549,0.22806823,0.220538408,con
con2,2.339117129,1.47399856,-0.051689674,1.052969965,0.484075252,0.245163411,1.622152031,-0.268398409,-0.832227048,-0.537155012,0.810250625,-0.044219132,-0.215779417,0.610016075,0.147263096,con
