Accession	neg-1	neg-2	neg-3	con-1	con-2	con-3
P02741	0.039061239299277	0.3793916868658	0.680237853781885	-1.64073238152889	-1.63832026505724	-1.68077597005276
D3DSP9	-0.190128826077778	0.365433885951753	0.618262971273186	-1.12870386050345	-1.22992357440142	-1.34770903770251
H0Y512	0.520293307621266	0.0281041604299788	0.466980499491632	-0.741949340166245	-0.745762175957568	-0.677825132186293
D6REY1	0.447175384474311	0.318542086194082	0.483451140181891	-0.221194712057596	-0.757850587070275	-0.391657543540189
P10645	0.22257946943084	0.28616159861786	0.491611375654739	-0.437231816025434	-0.325766291925014	-0.390703057545266
M0QYC8	0.491737967189562	0.111481078937567	0.0530448884336814	-0.627966509737688	-0.508448987693865	-0.322215010904238
B2RA39	0.195488054042482	0.285026639746542	0.123818092848815	-0.346883577701542	-0.506519494629518	-0.590824890672338
P02750	0.293795248688427	0.454403972707259	0.13333205784065	-0.26841518666855	-0.330513869046637	-0.498166629179537
P02776	-0.157342608430637	0.217464357699874	0.401113164747623	-0.58160494053495	-0.258211350913291	-0.571722700853535
Q9UNH2	0.071570993035367	0.423991150679861	0.0777819301202978	-0.174738675135021	-0.654271287309885	-0.457906983366834
D6R9C5	0.19006592591925	0.0278763010435256	0.264123464994725	-0.454627575791493	-0.466957978119115	-0.424770443282497
P01011	0.093446036006968	0.234391534787114	0.226455173007987	-0.329677720072919	-0.418634064016189	-0.485732285616679
P02792	0.0706401738109383	0.0707089435346792	0.257005168327758	-0.61130627059204	-0.442351075056432	-0.325206641400981
B4DLL8	0.315030021123708	0.262656423570377	0.0951701183756071	-0.234976478031122	-0.376480189498464	-0.394698797556541
A0A2P9AHB6	0.0865718208183976	0.24006022171121	0.436876567597099	-0.378547811854069	-0.11285918485362	-0.39867510889
P36222	0.20676929293146	0.00715706780632349	0.332959078386652	-0.218097972139416	-0.396813038198829	-0.416946937545093
Q8TCF0	0.18199904278967	0.0737218007208724	0.125444214562508	-0.385748819599719	-0.423115293592367	-0.395559765011005
H0Y3T6	-0.0612658409341672	0.426080773599302	0.17306030499458	-0.4056142948088	-0.42585881465079	-0.159670990878081
Q7Z4G9	0.189993218727097	0.333200583803154	0.149457506736279	-0.275218063741256	-0.407258372600209	-0.171894547293852
P18065	0.232669907787291	0.098952164224583	0.0905929902293278	-0.379007899355724	-0.240494297015529	-0.417146501048204
B7Z4R8	0.299031707311389	0.188700623570224	0.240790476140572	-0.232501819242158	-0.205641598663778	-0.189920997472582
A0A024R035	0.0854175484388037	0.273380063160093	0.174052070637574	-0.152755192925448	-0.370062419328631	-0.270869969619274
F5GZZ9	0.141721562896844	0.231081774921756	0.209847283458069	-0.098295336027391	-0.365152125902712	-0.286041775183744
Q86U17	0.149912498408485	0.114746373806099	0.110075889933272	-0.224049215461716	-0.479472806881621	-0.228692105015782
Q6N092	-0.418704103811013	-0.226192578848584	-0.251793235273625	-0.984697740031251	-0.612465329533742	-0.598772074542311
Q5TFQ8	-0.103771953456622	0.0113879461025966	0.135061410647811	-0.474353848889185	-0.373227474975938	-0.322086821892713
B9EJA8	0.0421639973381468	0.130688935790761	0.113283896660496	-0.264964227630799	-0.378525085564612	-0.287916714201415
Q53G79	0.121144670814215	0.179949820594819	0.0702779895437515	-0.160485102062922	-0.438537076548765	-0.247802122125205
Q06033	0.0702015762770099	0.194636412535039	0.162675212486323	-0.128527573946658	-0.278110819614702	-0.325088960947478
B4DVZ8	0.0874924043283662	0.0226628866850499	0.256689011266948	-0.317727278854198	-0.210529950313653	-0.241565180804477
F5H7V9	0.148736142673859	0.0482164675833611	0.218450612368662	-0.278018123313772	-0.189172125623474	-0.208107902247257
A0A1W6IYK6	0.146167006128989	-0.057410505578609	0.0668879527364927	-0.443211196537525	-0.239337654711272	-0.220832117851373
P11226	0.0299094372540327	0.0779405079532041	0.025418683040187	-0.11820941406477	-0.245482044574108	-0.533834147539692
B2R888	0.0765829724441614	0.0776405516114618	0.0427476821018885	-0.17193778086857	-0.350181294253195	-0.253769259072001
P02649	0.0355298207559546	0.0440176500526994	0.283814860934764	-0.243470175750467	-0.204080190603678	-0.123639303058954
B2R6W1	0.0636637734736641	0.30967339517297	0.228496324695712	-0.140101605007298	-0.148391286463189	-0.0216350754045237
P14543	1.16449773586758e-05	0.163060820444501	0.2381337977739	-0.103527857702898	-0.0935185628552806	-0.314078833647916
P02775	-0.0811117822359354	0.0468187019897162	0.183667773099766	-0.302107773749453	-0.123728469942968	-0.321230261115202
G8JLJ2	-0.262701825991057	-0.0300766056580137	-0.261877402679377	-0.484755215014892	-0.562570661659279	-0.360636188673094
Q9UGM5	0.0686776100589455	0.134417153365243	0.0166134597689347	-0.0291829848378309	-0.281129210082477	-0.315225328504108
B7Z544	0.134997125334356	0.214390839968438	0.177942973094771	0.000536621915791142	-0.0610794093273809	-0.244783709317373
B7ZL68	0.0357726973064557	0.0813251735439715	0.0951339016462669	-0.162625889393499	-0.0839757860909579	-0.374720750544811
B4E3Q4	0.0464590717038544	0.101140435836134	0.000227804843915449	-0.106543477282715	-0.247069315702429	-0.319582103514515
Q14520	0.147623694162384	0.0944151539752036	0.124852583989532	-0.105072667741338	-0.126515446613198	-0.195220384914967
P24593	-0.0156808823013183	0.0594733317237359	-0.182571386072459	0.291802249691465	0.184398184201358	0.187517252880098
B4DN75	-0.222207942227027	-0.00517723479809418	0.0582363800006987	0.257620880696968	0.175111070009199	0.2116264365858
F5H8B0	-0.121090546515541	-0.0780056067998435	-0.106702241265905	0.203747154561598	0.271811981548699	0.0367878745312784
Q96PD5	-0.079117016696147	0.00247402541103042	-0.0112490714723695	0.372669106027832	0.205486693265092	0.172578542323672
Q16627	-0.180377089967344	0.030381574343112	0.00514450460725026	0.307133751770458	0.230036930643216	0.17615827015798
B0AZL7	-0.0987880208218255	0.0422151095685394	-0.151035960062679	0.249319020163996	0.268170443406231	0.150886375651808
P80108	-0.113110983492357	3.14350695006466e-05	-0.0431058988487276	0.330800474580861	0.277327559491433	0.133454132234305
P10599	-0.140630668585008	-0.11522180772086	-0.0129453280924691	0.233564362501659	0.29214403222838	0.124167461368454
A6XND0	-0.0643741144357098	0.0315203405812792	-0.150579905210716	0.218022145765642	0.361409910687986	0.182654619005728
P27169	-0.141344537578909	0.0654332417217147	-0.0483148861360667	0.404865405995183	0.310027373218708	0.103646186536546
Q59GR5	-0.259121677496865	-0.0197605085831182	-0.0475337050719309	0.353287942256629	0.151253491095895	0.13492374264056
A8K6K4	-0.0353417507167464	-0.11307692531612	-0.106075646969674	0.238408182611085	0.386153194786701	0.0920500320571741
P43652	-0.0818666600433448	0.0249090069169253	-0.0437965629905519	0.299376907467772	0.330985903712313	0.262697134807267
A0A024CIM4	-0.162073215746174	0.118069736139553	-0.0514934862246424	0.389157363544012	0.337144558881631	0.189533967683958
B2R582	-0.149495618679614	0.0342561887897383	0.0161337514163538	0.399565298509692	0.244048073872833	0.27201117037877
P02765	-0.0830973977163671	-0.0520512917948429	-0.0730850619530734	0.436857878013745	0.148642947426321	0.253031755182563
Q8WUW7	0.084152889057776	-0.258172672422097	-0.218901770492997	0.318160963566156	0.270396660496913	0.148177181148268
B2R815	-0.152181148133368	-0.103765462012052	-0.112410537845021	0.310626959132297	0.349140010092523	0.102817799253292
P00558	-0.137546836205501	-0.0739843585525227	-0.243630434214669	0.17178476003494	0.207080615640418	0.328032213328519
P04040	-0.218713034588648	-0.191668394923176	-0.104854845403761	0.347416299758433	0.204955749610924	0.140141565118047
Q9Y5Y7	-0.0534043817330998	-0.122910047837222	-0.142650665345137	0.428815088359359	0.280438689953337	0.176896758386156
Q9NSY8	-0.315262254878042	-0.0803021704655408	-0.00922720543288113	0.435115062299486	0.17811293844679	0.208227156275764
Q6UXB8	-0.153760528345607	0.115107600707298	-0.202468559113953	0.462540012833628	0.348965902106663	0.180039274463811
B7Z556	-0.165264117547747	-0.0659750863539106	-0.0787218629870471	0.475007106889681	0.163705840459699	0.277036455081339
Q5VY30	-0.0837432263860963	-0.118090820421531	-0.0347224761095769	0.357674936983508	0.401114585977846	0.24283855268419
P54289	-0.0847945470852093	-0.10056403049902	-0.199560919835962	0.402362982369087	0.241482649030579	0.212958573322357
A2NKM6	-0.426411742794929	-0.16950624687159	-0.386526929205741	0.25612170404573	0.16271897718073	-0.0822846796029098
Q17RQ9	-0.0437624082455357	-0.169674682666392	-0.219962970290951	0.365140821760647	0.347521465137841	0.179229899467427
A0A1B0GTV0	-0.247346841490367	-0.0293578897684718	-0.106806051536492	0.294910616864772	0.401564159936624	0.286829925098498
P05164	-0.224521037121316	-0.1236924151758	-0.202046424724997	0.412000766022268	0.213839424307205	0.198770838464531
R4GN98	-0.242097334692942	-0.147831903994397	-0.0207583962433086	0.381900937511363	0.39331194495725	0.208606305523838
U3KQF3	-0.0924286411497942	-0.361638584731652	-0.279382383045307	0.433502474344519	0.0155809222937757	0.229758732771586
C9K028	-0.124998717239244	-0.313885695702155	-0.326990730314567	0.255579019361897	0.263756131901454	0.164542484226812
B2RAN2	-0.157225057101629	-0.0371531736136895	-0.135549391807225	0.466668546332957	0.433692158486323	0.226364648106568
P06727	-0.194548455427797	-0.106085670445286	-0.155723758452849	0.504862055607257	0.268854436718925	0.257050037684478
J3KRP0	-0.148036614159314	-0.222297692687885	-0.339249119298271	0.481516404357967	0.174165997095412	0.143322566844141
P14174	-0.264502487838734	-0.200113104434551	-0.266519904200607	0.312967804843513	0.274709444471995	0.264114190857462
P06396	-0.176571959238343	0.00241171804888905	-0.228341143635495	0.473016582545397	0.39398858184878	0.365177180799832
B4DM82	-0.305836659013956	-0.193394768683823	-0.237745126254227	0.564872768790333	0.164764564717146	0.263677998874172
P30043	-0.0407762696003352	-0.478438881724815	-0.372602663038853	0.342756029005753	0.448330848635616	0.169553289314216
P05452	-0.259364676002613	-0.198585626425766	-0.200825088763526	0.361213961244066	0.558929852782271	0.270724662354492
P00568	-0.286936232398422	-0.13100759281532	-0.23869490431871	0.47983951522276	0.408294054723354	0.323559890657748
A0A0K0K1L1	-0.272512738095519	-0.268736564328697	-0.286718370933035	0.571876246179796	0.285550146386233	0.320741100069757
B2R6V9	-0.1811863207398	-0.555013326610805	-0.211189986615457	0.48876076981634	0.308352763013286	0.323443374345699
E7EQB2	-0.349924249727419	-0.269410443659097	-0.323315211966282	0.583549182446548	0.304689177374663	0.309993621565565
