Protein	STRING protein	Protein_Info	identity	bitscore
A0A024CIM4	BCHE	Butyrylcholinesterase; Esterase with broad substrate specificity. Contributes to the inactivation of the neurotransmitter acetylcholine. Can degrade neurotoxic organophosphate esters	100 %	1250
A0A024R035	C9	Complement component 9; Constituent of the membrane attack complex (MAC) that plays a key role in the innate and adaptive immune response by forming pores in the plasma membrane of target cells. C9 is the pore-forming subunit of the MAC	100 %	1159
A0A0K0K1L1	CA2	Carbonic anhydrase II; Essential for bone resorption and osteoclast differentiation (By similarity). Reversible hydration of carbon dioxide. Can hydrate cyanamide to urea. Involved in the regulation of fluid secretion into the anterior chamber of the eye. Contributes to intracellular pH regulation in the duodenal upper villous epithelium during proton-coupled peptide absorption. Stimulates the chloride-bicarbonate exchange activity of SLC26A6	99 %	532
A0A1B0GTV0	MECP2	Methyl CpG binding protein 2 (Rett syndrome); Chromosomal protein that binds to methylated DNA. It can bind specifically to a single methyl-CpG pair. It is not influenced by sequences flanking the methyl-CpGs. Mediates transcriptional repression through interaction with histone deacetylase and the corepressor SIN3A. Binds both 5-methylcytosine (5mC) and 5-hydroxymethylcytosine (5hmC)-containing DNA, with a preference for 5-methylcytosine (5mC)	97 %	60.1
A0A1W6IYK6	IGKV3D-7	Uncharacterized protein 	54 %	111
A0A2P9AHB6	AOX1	Aldehyde oxidase 1; Oxidase with broad substrate specificity, oxidizing aromatic azaheterocycles, such as N1-methylnicotinamide and N- methylphthalazinium, as well as aldehydes, such as benzaldehyde, retinal, pyridoxal, and vanillin. Plays a key role in the metabolism of xenobiotics and drugs containing aromatic azaheterocyclic substituents. Participates in the bioactivation of prodrugs such as famciclovir, catalyzing the oxidation step from 6-deoxypenciclovir to penciclovir, which is a potent antiviral agent. Is probably involved in the regulation of reactive oxygen species homeostasi [...] 	25 %	124
A2NKM6	ENSG00000223931	Protein IGHV3OR16-10 	77 %	152
A6XND0	IGFBP3	Insulin-like growth factor binding protein 3; IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors. Also exhibits IGF-independent antiproliferative and apoptotic effects mediated by its receptor TMEM219/IGFBP-3R	95 %	503
A8K6K4	IL1RAP	Interleukin 1 receptor accessory protein	86 %	993
B0AZL7	IGFALS	Insulin-like growth factor binding protein, acid labile subunit; Involved in protein-protein interactions that result in protein complexes, receptor-ligand binding or cell adhesion	100 %	1174
B2R582	CLEC3B	C-type lectin domain family 3, member B; Tetranectin binds to plasminogen and to isolated kringle 4. May be involved in the packaging of molecules destined for exocytosis	99 %	416
