Protein	STRING protein	Protein_Info	identity	bitscore
A0A024CIM4	BCHE	Butyrylcholinesterase; Esterase with broad substrate specificity. Contributes to the inactivation of the neurotransmitter acetylcholine. Can degrade neurotoxic organophosphate esters	100 %	1250
A0A024R462	FN1	Fibronectin 1	74 %	2885
A0A0G2JMR2	LILRA2	Leukocyte immunoglobulin-like receptor, subfamily A (with TM domain), member 2; Does not bind class I MHC antigens	100 %	675
A0A0K0K1L1	CA2	Carbonic anhydrase II; Essential for bone resorption and osteoclast differentiation (By similarity). Reversible hydration of carbon dioxide. Can hydrate cyanamide to urea. Involved in the regulation of fluid secretion into the anterior chamber of the eye. Contributes to intracellular pH regulation in the duodenal upper villous epithelium during proton-coupled peptide absorption. Stimulates the chloride-bicarbonate exchange activity of SLC26A6	99 %	532
A0A0U2N547	KIT	V-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog; Tyrosine-protein kinase that acts as cell-surface receptor for the cytokine KITLG/SCF and plays an essential role in the regulation of cell survival and proliferation, hematopoiesis, stem cell maintenance, gametogenesis, mast cell development, migration and function, and in melanogenesis. In response to KITLG/SCF binding, KIT can activate several signaling pathways. Phosphorylates PIK3R1, PLCG1, SH2B2/APS and CBL. Activates the AKT1 signaling pathway by phosphorylation of PIK3R1, the regulatory subunit of phosphatidylinosit [...] 	99 %	1979
A0A1B0GTV0	MECP2	Methyl CpG binding protein 2 (Rett syndrome); Chromosomal protein that binds to methylated DNA. It can bind specifically to a single methyl-CpG pair. It is not influenced by sequences flanking the methyl-CpGs. Mediates transcriptional repression through interaction with histone deacetylase and the corepressor SIN3A. Binds both 5-methylcytosine (5mC) and 5-hydroxymethylcytosine (5hmC)-containing DNA, with a preference for 5-methylcytosine (5mC)	97 %	60.1
A0A1B0GVP3	CTSD	Cathepsin D; Acid protease active in intracellular protein breakdown. Involved in the pathogenesis of several diseases such as breast cancer and possibly Alzheimer disease	98 %	785
A2RTY6	ITIH2	Inter-alpha-trypsin inhibitor heavy chain 2; May act as a carrier of hyaluronan in serum or as a binding protein between hyaluronan and other matrix protein, including those on cell surfaces in tissues to regulate the localization, synthesis and degradation of hyaluronan which are essential to cells undergoing biological processes	100 %	1960
A6XND0	IGFBP3	Insulin-like growth factor binding protein 3; IGF-binding proteins prolong the half-life of the IGFs and have been shown to either inhibit or stimulate the growth promoting effects of the IGFs on cell culture. They alter the interaction of IGFs with their cell surface receptors. Also exhibits IGF-independent antiproliferative and apoptotic effects mediated by its receptor TMEM219/IGFBP-3R	95 %	503
A8K6K4	IL1RAP	Interleukin 1 receptor accessory protein	86 %	993
A9Z1X1	PGD	Phosphogluconate dehydrogenase; Catalyzes the oxidative decarboxylation of 6- phosphogluconate to ribulose 5-phosphate and CO(2), with concomitant reduction of NADP to NADPH	100 %	468
B0AZL7	IGFALS	Insulin-like growth factor binding protein, acid labile subunit; Involved in protein-protein interactions that result in protein complexes, receptor-ligand binding or cell adhesion	100 %	1174
B2R582	CLEC3B	C-type lectin domain family 3, member B; Tetranectin binds to plasminogen and to isolated kringle 4. May be involved in the packaging of molecules destined for exocytosis	99 %	416
